Mes;Chats
1/11/2021;253546
1/12/2021;288011
1/1/2022;221697
1/2/2022;183881
1/3/2022;196470
1/4/2022;174260
1/5/2022;203321
1/6/2022;211991
1/7/2022;223510
1/8/2022;206211
1/9/2022;194973
1/10/2022;210222
1/11/2022;199985
1/12/2022;231240
1/1/2023;177863
1/2/2023;155583
1/3/2023;141798
1/4/2023;113776
1/5/2023;124424
1/6/2023;119101
1/7/2023;133031
1/8/2023;115472
1/9/2023;108293
1/10/2023;105885
1/11/2023;95792
1/12/2023;92266
1/1/2024;69897
1/2/2024;66801
1/3/2024;66214
1/4/2024;60453
1/5/2024;55545
1/6/2024;59376
1/7/2024;66867
1/8/2024;62824
1/9/2024;49403
1/10/2024;10033
